User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category;;;
CloudTrail,ASIA4B4RYUGIHFUS2ONM,2020-09-26T13:20:18Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],de6f43e3-66cf-43e0-80e7-0f02c4b6d629,b76b8732-5e1b-4218-90f6-abdda006b4ff,false,AwsApiCall,828697518480,;;;
CloudTrail,,2020-09-26T13:19:50Z,signin.amazonaws.com,ConsoleLogin,us-east-1,213.55.244.43,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0,,[],,4a9ec953-dc69-421a-a593-5d324c0edb20,,AwsConsoleSignIn,828697518480,
root,ASIA4B4RYUGICCDMKFGG,2020-09-26T13:13:25Z,iam.amazonaws.com,GenerateServiceLastAccessedDetails,us-east-1,213.55.244.43,console.amazonaws.com,,[],8a9620e3-e4ef-4f75-9a2f-48d9b79cee2c,d408bc21-f91b-48f7-b133-ca573363c359,,AwsApiCall,828697518480,;;;
root,,2020-09-26T13:12:21Z,signin.amazonaws.com,ConsoleLogin,us-east-1,213.55.244.43,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0,,[],,f1af9116-41ce-4e95-b1fb-edeeb96359f1,,AwsConsoleSignIn,828697518480,
"root,ASIA4B4RYUGIPSL3ML4Z,2020-09-26T13:03:46Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,213.55.244.43,console.amazonaws.com,,""[{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""CloudTrail""""}]"",2ad4ab5e-6f85-4d7e-b29c-6c9b8e3fa921,bd557ed2-a2b8-4288-b757-7418a0aee7a2,,AwsApiCall,828697518480,";;;
"root,ASIA4B4RYUGIPSL3ML4Z,2020-09-26T13:03:45Z,iam.amazonaws.com,AttachUserPolicy,us-east-1,213.55.244.43,console.amazonaws.com,,""[{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""CloudTrail""""},{""""resourceType"""":""""AWS::IAM::Policy"""",""""resourceName"""":""""arn:aws:iam::aws:policy/IAMUserChangePassword""""}]"",fdb8daad-b2b6-4512-8d76-45d061f0de13,13bf2fb5-2921-430e-a970-8b3851191dcd,,AwsApiCall,828697518480,";;;
"root,ASIA4B4RYUGIPSL3ML4Z,2020-09-26T13:03:45Z,iam.amazonaws.com,AddUserToGroup,us-east-1,213.55.244.43,console.amazonaws.com,,""[{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""CloudTrail""""},{""""resourceType"""":""""AWS::IAM::Group"""",""""resourceName"""":""""CloudTrailAdmins""""}]"",3f0628f1-5deb-4fd7-b6af-b9cc917abb3f,37aa05c2-9c1f-420c-a8e2-6eaa1cb228e7,,AwsApiCall,828697518480,";;;
"root,ASIA4B4RYUGIPSL3ML4Z,2020-09-26T13:03:44Z,iam.amazonaws.com,CreateUser,us-east-1,213.55.244.43,console.amazonaws.com,,""[{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""CloudTrail""""},{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""arn:aws:iam::828697518480:user/CloudTrail""""},{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""AIDA4B4RYUGIPYVH4J5RI""""}]"",311572d4-d609-4a1c-82b8-531a6551b1e4,40945ec9-bf14-41eb-aa76-b37bc7a20cbd,,AwsApiCall,828697518480,";;;
"root,ASIA4B4RYUGIPSL3ML4Z,2020-09-26T13:02:58Z,iam.amazonaws.com,DeleteUser,us-east-1,213.55.244.43,console.amazonaws.com,,""[{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""CloudTrail""""}]"",a9ed88ec-d863-4d03-b5b5-1d728871275c,24d77be3-ed5e-42a4-ad31-28a8c13d1b94,,AwsApiCall,828697518480,";;;
"root,ASIA4B4RYUGIPSL3ML4Z,2020-09-26T13:02:57Z,iam.amazonaws.com,RemoveUserFromGroup,us-east-1,213.55.244.43,console.amazonaws.com,,""[{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""CloudTrail""""},{""""resourceType"""":""""AWS::IAM::Group"""",""""resourceName"""":""""CloudTrailAdmins""""}]"",b9a2062d-dba0-4315-8998-72ed5ec84d52,cda65b1d-ce89-407f-afc8-535dcf10b45c,,AwsApiCall,828697518480,";;;
"root,ASIA4B4RYUGIPSL3ML4Z,2020-09-26T13:02:57Z,iam.amazonaws.com,DetachUserPolicy,us-east-1,213.55.244.43,console.amazonaws.com,,""[{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""CloudTrail""""},{""""resourceType"""":""""AWS::IAM::Policy"""",""""resourceName"""":""""arn:aws:iam::aws:policy/IAMUserChangePassword""""}]"",46025f68-cb63-4e64-9c1e-b8bce0d51401,d94200e6-0eec-4c37-9132-f21693e1e357,,AwsApiCall,828697518480,";;;
"root,ASIA4B4RYUGIPSL3ML4Z,2020-09-26T13:02:56Z,iam.amazonaws.com,DeleteLoginProfile,us-east-1,213.55.244.43,console.amazonaws.com,,""[{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""CloudTrail""""}]"",f56f8422-6019-45d7-8dce-2aa6dc555a24,3c098730-3826-4dbd-8d92-ad5713843e1f,,AwsApiCall,828697518480,";;;
root,,2020-09-26T13:00:34Z,signin.amazonaws.com,ConsoleLogin,us-east-1,213.55.244.43,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0,,[],,2ea7032f-84b4-463e-84bb-96ab39aac343,,AwsConsoleSignIn,828697518480,
root,,2020-09-26T12:58:00Z,signin.amazonaws.com,ConsoleLogin,us-east-1,213.55.244.43,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0,,[],,b6c92b1b-0985-4a37-9d5d-2667121daa8a,,AwsConsoleSignIn,828697518480,
"root,ASIA4B4RYUGINRCNYN7H,2020-09-26T12:56:02Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,213.55.244.43,console.amazonaws.com,,""[{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""Accountant""""}]"",7cdb2f89-5d47-40b5-8815-18e04b4cf8e4,f70d7d1d-04da-45de-9283-72858a01b19e,,AwsApiCall,828697518480,";;;
"root,ASIA4B4RYUGINRCNYN7H,2020-09-26T12:56:01Z,iam.amazonaws.com,AttachUserPolicy,us-east-1,213.55.244.43,console.amazonaws.com,,""[{""""resourceType"""":""""AWS::IAM::User"""",""""resourceName"""":""""Accountant""""},{""""resourceType"""":""""AWS::IAM::Policy"""",""""resourceName"""":""""arn:aws:iam::aws:policy/IAMUserChangePassword""""}]"",3fef81c4-83c6-48e1-88ab-f5be4ca91190,24bdb0a4-71ab-4441-8b63-3d976863efea,,AwsApiCall,828697518480,";;;
